time;x;y;z;gforce
6.3490;0.6489;-0.8639;-0.0938;1.084
6.3510;0.5863;-0.8599;-0.1211;1.048
6.3530;0.5941;-0.8560;-0.1250;1.049
6.3550;0.5902;-0.8560;-0.1211;1.047
6.3680;0.5823;-0.8521;-0.1172;1.039
6.3710;0.5707;-0.8482;-0.1094;1.028
6.3800;0.5707;-0.8443;-0.1055;1.025
6.3900;0.5746;-0.8443;-0.1094;1.027
6.4000;0.5863;-0.8443;-0.1172;1.035
6.4590;0.5863;-0.8521;-0.1172;1.041
6.4620;0.5863;-0.8482;-0.1211;1.038
6.4630;0.5823;-0.8521;-0.1250;1.040
6.4650;0.5823;-0.8482;-0.1211;1.036
6.4670;0.5823;-0.8443;-0.1172;1.032
6.4690;0.5667;-0.8404;-0.1094;1.020
6.4710;0.5590;-0.8365;-0.1055;1.012
6.5180;0.5590;-0.8404;-0.1094;1.015
6.5220;0.5667;-0.8482;-0.1094;1.026
6.5240;0.5707;-0.8560;-0.1094;1.035
6.5270;0.5785;-0.8560;-0.1094;1.039
6.5290;0.5785;-0.8599;-0.1055;1.042
6.5310;0.5863;-0.8560;-0.1172;1.044
6.5820;0.5863;-0.8521;-0.1133;1.041
6.5840;0.5823;-0.8482;-0.1133;1.035
6.5860;0.5785;-0.8482;-0.1133;1.033
6.5910;0.5823;-0.8521;-0.1172;1.039
6.6100;0.5785;-0.8482;-0.1133;1.033
6.6200;0.5785;-0.8521;-0.1133;1.036
6.6350;0.5823;-0.8521;-0.1094;1.038
6.6410;0.5823;-0.8560;-0.1094;1.041
6.6510;0.5863;-0.8521;-0.1094;1.040
6.6600;0.5863;-0.8521;-0.1133;1.041
6.7030;0.5785;-0.8482;-0.1094;1.032
6.7060;0.5746;-0.8404;-0.1055;1.024
6.7150;0.5707;-0.8482;-0.1055;1.028
6.7160;0.5707;-0.8482;-0.1094;1.028
6.7180;0.5785;-0.8521;-0.1172;1.037
6.7200;0.5863;-0.8560;-0.1172;1.044
6.7300;0.5941;-0.8521;-0.1172;1.045
6.7420;0.5941;-0.8482;-0.1211;1.043
6.7550;0.5823;-0.8482;-0.1172;1.035
6.7650;0.5785;-0.8482;-0.1211;1.034
6.7760;0.5823;-0.8443;-0.1211;1.033
6.7800;0.5863;-0.8482;-0.1172;1.038
6.8240;0.5785;-0.8443;-0.1094;1.029
6.8260;0.5707;-0.8443;-0.1133;1.025
6.8280;0.5707;-0.8443;-0.1172;1.026
6.8320;0.5785;-0.8482;-0.1211;1.034
6.8340;0.5785;-0.8560;-0.1211;1.040
6.8410;0.5863;-0.8482;-0.1211;1.038
6.8550;0.5902;-0.8482;-0.1172;1.040
6.8600;0.5902;-0.8443;-0.1172;1.037
6.8710;0.5863;-0.8521;-0.1211;1.041
6.9140;0.5823;-0.8482;-0.1172;1.035
6.9160;0.5785;-0.8482;-0.1133;1.033
6.9190;0.5823;-0.8521;-0.1133;1.038
6.9200;0.5863;-0.8482;-0.1133;1.037
6.9220;0.5902;-0.8521;-0.1094;1.042
6.9330;0.5863;-0.8482;-0.1094;1.037
6.9410;0.5823;-0.8482;-0.1133;1.035
6.9500;0.5823;-0.8443;-0.1133;1.032
6.9600;0.5902;-0.8443;-0.1172;1.037
7.0110;0.5863;-0.8521;-0.1172;1.041
7.0130;0.5863;-0.8482;-0.1133;1.037
7.0150;0.5823;-0.8521;-0.1133;1.038
7.0170;0.5902;-0.8443;-0.1172;1.037
7.0190;0.5863;-0.8482;-0.1211;1.038
7.0210;0.5863;-0.8521;-0.1172;1.041
7.0300;0.5902;-0.8482;-0.1094;1.039
7.0400;0.5941;-0.8482;-0.1055;1.041
7.0510;0.5941;-0.8482;-0.1133;1.042
7.0650;0.5902;-0.8482;-0.1133;1.039
7.0700;0.5863;-0.8443;-0.1172;1.035
7.0810;0.5863;-0.8404;-0.1133;1.031
7.0910;0.5823;-0.8521;-0.1172;1.039
7.1330;0.5941;-0.8521;-0.1172;1.045
7.1350;0.5902;-0.8521;-0.1094;1.042
7.1380;0.5746;-0.8482;-0.1133;1.031
7.1420;0.5667;-0.8443;-0.1133;1.023
7.1430;0.5746;-0.8482;-0.1094;1.030
7.1510;0.5823;-0.8521;-0.1133;1.038
7.1650;0.5785;-0.8521;-0.1055;1.035
7.1700;0.5785;-0.8521;-0.0977;1.035
7.1840;0.5667;-0.8599;-0.0977;1.034
7.1900;0.5590;-0.8912;-0.1055;1.057
7.2000;0.4691;-0.9224;-0.1016;1.040
7.2110;0.3713;-0.8795;-0.0624;0.957
7.2610;0.3205;-0.8990;0.1563;0.967
7.2640;0.2580;-0.8482;-0.0195;0.887
7.8810;0.0742;-0.6371;-0.0899;0.648
7.8830;-0.0547;-0.7465;-0.0782;0.753
7.8850;-0.0977;-0.7935;-0.0508;0.801
7.9230;-0.1407;-0.8248;-0.0234;0.837
