time,x,y,z
17:40:31:264,-0.42,0.60,1.00
17:40:31:311,-0.21,0.71,0.93
17:40:31:313,-0.10,0.65,0.72
17:40:31:316,-0.07,0.45,0.71
17:40:31:318,0.67,0.05,0.73
17:40:31:319,0.87,-0.23,1.01
17:40:31:330,1.14,-0.38,1.05
17:40:31:333,1.04,-0.45,0.86
17:40:31:342,0.67,-0.42,0.70
17:40:31:352,0.30,-0.43,0.54
17:40:31:361,0.10,-0.39,0.52
17:40:31:371,0.41,-0.30,0.51
17:40:31:380,0.84,-0.33,0.42
17:40:31:409,1.29,-0.37,0.12
17:40:31:412,1.56,-0.49,-0.23
17:40:31:413,1.55,-0.67,-0.70
17:40:31:421,1.26,-0.78,-1.31
17:40:31:429,0.64,-0.79,-1.53
17:40:31:439,-0.02,-0.70,-1.61
17:40:31:448,-0.51,-0.64,-1.43
17:40:31:488,-0.80,-0.59,-0.78
17:40:31:491,-0.72,-0.55,-0.40
17:40:31:493,-0.93,-0.54,-0.22
17:40:31:495,-1.53,-0.34,-0.23
17:40:31:497,-1.91,-0.27,-0.45
17:40:31:509,-1.84,-0.36,-0.63
17:40:31:522,-1.29,-0.54,-0.51
17:40:31:526,-0.44,-0.78,-0.28
17:40:31:539,0.13,-0.84,-0.12
17:40:31:545,0.21,-0.80,-0.08
17:40:31:556,0.16,-0.69,-0.24
17:40:31:565,0.17,-0.66,-0.46
17:40:31:575,0.24,-0.72,-0.60
17:40:31:617,0.34,-0.75,-0.66
17:40:31:619,0.43,-0.76,-0.69
17:40:31:623,0.46,-0.73,-0.75
17:40:31:625,0.39,-0.69,-0.81
17:40:31:627,0.25,-0.64,-0.82
17:40:31:634,0.11,-0.61,-0.72
17:40:31:644,-0.04,-0.57,-0.51
17:40:31:655,-0.13,-0.53,-0.27
17:40:31:662,-0.13,-0.48,-0.13
17:40:31:695,-0.12,-0.45,-0.12
17:40:31:697,-0.09,-0.42,-0.23
17:40:31:699,-0.07,-0.40,-0.35
17:40:31:753,-0.05,-0.38,-0.40
17:40:31:755,-0.04,-0.34,-0.34
17:40:31:756,-0.06,-0.32,-0.22
17:40:31:758,-0.09,-0.28,-0.11
17:40:31:760,-0.12,-0.26,-0.05
17:40:31:761,-0.11,-0.24,-0.07
17:40:31:762,-0.07,-0.23,-0.13
17:40:31:772,-0.03,-0.21,-0.17
17:40:31:778,0.00,-0.19,-0.16
