time,x,y,z
18:22:41:837,-0.71,-0.00,0.91
18:22:41:845,-0.59,0.15,0.87
18:22:41:853,-0.47,0.31,0.78
18:22:41:863,-0.40,0.42,0.64
18:22:41:872,-0.33,0.46,0.47
18:22:41:882,-0.30,0.46,0.33
18:22:41:916,-0.32,0.43,0.24
18:22:41:919,-0.39,0.36,0.25
18:22:41:921,-0.51,0.24,0.36
18:22:41:924,-0.62,0.08,0.52
18:22:41:931,-0.66,-0.05,0.68
18:22:41:945,-0.62,-0.12,0.82
18:22:41:950,-0.55,-0.15,0.90
18:22:41:960,-0.46,-0.11,0.90
18:22:41:970,-0.37,-0.07,0.78
18:22:41:980,-0.26,-0.03,0.57
18:22:41:989,-0.18,0.08,0.35
18:22:42:33,-0.16,0.20,0.21
18:22:42:36,-0.25,0.34,0.21
18:22:42:41,-0.38,0.45,0.32
18:22:42:43,-0.51,0.49,0.48
18:22:42:45,-0.58,0.48,0.64
18:22:42:52,-0.57,0.43,0.75
18:22:42:63,-0.52,0.40,0.84
18:22:42:67,-0.43,0.37,0.91
18:22:42:78,-0.29,0.34,0.89
18:22:42:87,-0.14,0.34,0.81
18:22:42:97,-0.04,0.35,0.67
18:22:42:107,-0.05,0.39,0.55
18:22:42:140,-0.14,0.42,0.50
18:22:42:144,-0.26,0.41,0.54
18:22:42:146,-0.36,0.36,0.67
18:22:42:148,-0.45,0.35,0.89
18:22:42:155,-0.54,0.34,1.16
18:22:42:165,-0.62,0.36,1.41
18:22:42:179,-0.65,0.38,1.58
18:22:42:184,-0.62,0.39,1.61
18:22:42:196,-0.54,0.41,1.49
18:22:42:204,-0.46,0.44,1.32
18:22:42:239,-0.42,0.47,1.08
18:22:42:245,-0.41,0.53,0.92
18:22:42:248,-0.45,0.64,0.87
18:22:42:250,-0.55,0.77,0.92
18:22:42:252,-0.64,0.90,1.06
18:22:42:262,-0.71,0.95,1.18
18:22:42:272,-0.77,0.94,1.25
18:22:42:282,-0.78,0.88,1.32
18:22:42:323,-0.80,0.79,1.33
18:22:42:327,-0.83,0.76,1.24
18:22:42:331,-0.81,0.77,1.09
18:22:42:333,-0.78,0.85,0.90
18:22:42:335,-0.73,0.95,0.77
18:22:42:340,-0.63,1.03,0.73
18:22:42:350,-0.52,1.05,0.83
18:22:42:364,-0.43,0.90,0.97
18:22:42:369,-0.38,0.65,1.12
18:22:42:379,-0.40,0.39,1.23
18:22:42:388,-0.50,0.19,1.21
18:22:42:398,-0.64,0.16,1.10
18:22:42:439,-0.81,0.25,0.93
18:22:42:443,-0.92,0.41,0.77
18:22:42:445,-0.93,0.57,0.67
18:22:42:448,-0.84,0.63,0.60
18:22:42:450,-0.70,0.62,0.60
18:22:42:457,-0.58,0.53,0.70
18:22:42:466,-0.52,0.38,0.83
18:22:42:479,-0.48,0.24,0.97
